BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
2C:C4:92:EB:BB:DB,,,-94,-127,10
E7:E6:98:42:98:94,,Apple,-77,-127,10
5B:36:01:25:70:40,,,-97,-127,10
58:44:BE:E0:30:14,,Apple,-86,-127,10
EE:6D:DC:FB:C9:8F,,Apple,-88,-127,10
6D:E9:35:F6:64:8B,,Apple,-85,12,10
49:C7:B9:34:46:E4,,,-80,-127,10
DD:B9:EB:1C:2F:19,,Apple,-73,-127,10
43:A6:59:5C:46:45,,Apple,-83,12,10
78:85:EB:1A:E4:AC,,Microsoft,-94,-127,10
50:36:C0:E4:D6:C8,,Apple,-73,12,10
48:E6:95:13:DC:2E,,"[""Apple"",""eBest IOT""]",-83,-127,10
