BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
54:44:A3:58:DA:27,,Samsung Electronics,-93,-127,10
BC:10:2F:FB:AE:AD,Refrigerato,Samsung Electronics,-96,-127,10
DA:94:3A:D4:25:6B,,Apple,-97,-127,10
DA:46:D0:E2:93:FB,,Apple,-72,-127,10
10:30:79:27:A7:4F,,Microsoft,-97,-127,10
C3:80:62:8B:39:36,,Apple,-62,-127,10
72:AD:5D:DC:41:50,,Apple,-56,11,10
51:A9:15:B9:D2:B6,,Apple,-94,12,10
29:EB:89:7C:F0:82,,,-95,-127,10
64:2B:8F:05:65:BC,,Apple,-65,8,10
3D:5C:8C:5B:39:C0,,Microsoft,-97,-127,10
7C:F0:B9:15:18:6E,,Apple,-96,8,10
7C:90:1F:FF:6C:87,FWA-EC4FB2,Texas Instruments,-96,0,10
43:5B:5E:CF:35:65,,Apple,-90,12,10
72:98:19:D0:CF:FC,,Apple,-64,-127,10
7F:9D:4E:22:D2:E1,,Apple,-96,12,10
FB:04:D3:93:A6:0F,,Apple,-91,-127,10
12:AF:89:E5:6E:0C,,Microsoft,-95,-127,10
8C:79:F5:01:AF:B1,[TV] Samsung Q60 Series (65),Samsung Electronics,-100,-127,10
CC:B1:B5:A9:A7:8D,,Apple,-96,-127,10
C4:1A:CC:99:05:1D,,Apple,-93,-127,10
DE:27:58:4B:83:EE,,Apple,-99,-127,10
04:81:B0:96:76:01,,Microsoft,-97,-127,10
