BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
C0:D0:63:D9:5D:2E,,"[""Radius Networks"",""EM Microelectronic""]",-76,-127,10
7E:85:D2:19:E1:4E,,Apple,-93,24,10
58:3E:13:F2:4B:57,,Apple,-82,-127,10
4F:8B:33:49:D1:15,,,-98,-127,10
D1:C1:A8:A6:95:02,,Apple,-94,-127,10
F9:FE:41:46:57:02,,Apple,-78,-127,10
4E:74:AC:90:F0:E6,,Apple,-95,8,10
75:14:1B:D3:12:C7,,Apple,-97,12,10
5E:64:8A:2B:61:E6,,Apple,-89,12,10
CA:14:0D:F9:AA:59,,Apple,-75,-127,10
D1:3B:55:B4:79:91,,Apple,-76,-127,10
79:DB:1A:D8:DB:F3,,Apple,-85,8,10
4B:FA:A2:0F:CE:0B,,,-85,-127,10
62:76:61:BE:92:A0,,Apple,-84,12,10
4D:2E:18:01:02:81,,,-99,-127,10
C0:D0:63:DB:1D:A0,,"[""Radius Networks"",""EM Microelectronic""]",-73,-127,10
5E:D2:0F:F6:F7:DA,,Apple,-76,11,10
46:42:92:2D:D4:9B,,Apple,-93,-127,10
C6:45:08:06:41:2B,,Apple,-78,-127,10
D9:18:95:B0:32:01,,Apple,-82,-127,10
C5:42:B7:8D:8B:8B,,Apple,-90,-127,10
D2:BA:38:39:CA:52,,Apple,-83,-127,10
C0:D0:63:D8:A2:61,,"[""Radius Networks"",""EM Microelectronic""]",-76,-127,10
C0:D0:63:D8:C2:DD,,"[""Radius Networks"",""EM Microelectronic""]",-68,-127,10
75:32:6D:1B:26:CD,,Apple,-78,12,10
4A:FD:B6:F2:75:79,,Apple,-86,-127,10
F0:57:C2:8F:BB:A3,,Apple,-74,-127,10
CB:17:BB:AC:80:EC,,Apple,-86,-127,10
44:4E:B5:97:D3:3F,,Apple,-75,-127,10
58:B7:78:63:AE:13,,,-96,-127,10
F2:C1:A6:3E:94:F2,,Apple,-82,-127,10
66:FF:97:63:78:AE,,Apple,-86,-127,10
D2:E1:35:C9:5B:5D,,Apple,-83,-127,10
6F:C6:51:93:B0:C7,,Apple,-65,12,10
A4:7E:36:56:83:E7,,"[""Radius Networks"",""EM Microelectronic""]",-69,-127,10
C0:D0:63:D9:2A:5F,,"[""Radius Networks"",""EM Microelectronic""]",-92,-127,10
E1:32:2D:3B:34:69,,Apple,-73,-127,10
47:EC:D2:EE:F0:75,,,-97,-127,10
75:D9:DA:2D:F9:5F,,Apple,-86,-127,10
47:3E:46:69:6B:69,,Apple,-85,12,10
57:1C:EA:BF:AD:8C,,Apple,-80,12,10
65:E5:C5:C6:71:95,,Apple,-90,-127,10
C1:EA:A9:BB:C2:0B,ORAS,Cypress Semiconductor,-92,-127,10
C1:5C:C3:63:DE:E7,,Apple,-76,-127,10
79:6F:AD:5F:2D:7A,,Apple,-89,12,10
68:B4:0A:83:1A:8A,,Apple,-91,12,10
F6:A6:A6:72:6C:FF,,Apple,-72,-127,10
C0:D0:63:D8:FF:85,,"[""Radius Networks"",""EM Microelectronic""]",-91,-127,10
C1:90:FF:A3:7A:54,Mi Smart Band 5,Anhui Huami Information Technology,-71,-127,10
C4:17:98:09:97:83,,Apple,-80,-127,10
7A:94:B5:67:9C:1A,,Apple,-86,12,10
C3:E3:A4:62:A5:BF,,Apple,-85,-127,10
F2:1F:09:91:E0:5E,,Apple,-81,-127,10
FE:37:0B:2A:94:F1,,Apple,-75,-127,10
E6:88:88:C2:0F:25,,Apple,-68,-127,10
CB:BB:D2:48:23:BD,LE_WH-1000XM4,"[""Sony Corporation"",""Amazon.com Services""]",-93,-21,10
CC:B8:44:4E:8B:C0,,Apple,-89,-127,10
C0:D0:63:DB:A0:A9,,"[""Radius Networks"",""EM Microelectronic""]",-76,-127,10
A4:7E:36:59:1A:5A,,"[""Radius Networks"",""EM Microelectronic""]",-85,-127,10
F5:5E:3E:89:89:3A,,Apple,-95,-127,10
77:B6:A3:E6:BE:9E,,Apple,-71,-127,10
73:18:D2:9C:B7:A0,,,-96,-127,10
56:B2:66:73:BB:AC,,Google,-98,-127,10
D7:20:4C:50:E1:C8,,Apple,-87,-127,10
DA:D4:D0:38:A9:94,,Apple,-91,-127,10
A4:7E:36:56:84:21,,"[""Radius Networks"",""EM Microelectronic""]",-77,-127,10
59:71:D4:D0:55:31,,Apple,-83,12,10
EC:C6:6C:FA:3A:71,,Apple,-98,-127,10
C0:D0:63:D9:27:D9,,"[""Radius Networks"",""EM Microelectronic""]",-75,-127,10
41:F7:F1:85:A5:E0,,,-100,-127,10
64:0C:7F:C7:67:C2,,Apple,-95,7,10
58:C2:72:39:8C:DF,,Apple,-81,12,10
