BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
75:DC:FE:E7:6D:F2,,Apple,-78,-127,10
DB:58:A1:E5:2C:3C,,Apple,-60,-127,10
5C:07:ED:BC:DF:43,,,-92,-127,10
6B:B1:2F:75:63:E2,,Apple,-70,11,10
07:36:E5:C0:DE:36,,,-72,-127,10
EE:BE:72:6F:D3:A2,,Apple,-59,-127,10
F5:4A:DD:4A:35:10,,Apple,-52,-127,10
45:87:3F:79:FC:6B,,,-87,-127,10
DC:4B:EF:20:A6:77,,Apple,,-127,0
CB:C7:E7:B4:54:81,,Apple,-53,-127,10
DB:51:14:62:CD:F6,,Apple,-85,-127,10
73:A7:BE:5E:95:C8,LE-Jano Bose,Bose Corporation,-59,-10,10
51:BA:2E:92:24:2E,,Apple,-71,12,10
4D:8A:96:51:6C:3B,,Samsung Electronics,,-127,0
67:2F:42:14:5E:72,,Apple,-75,12,10
6D:55:25:D8:49:CD,,Apple,-63,-127,10
D4:40:65:8B:FA:7B,,Apple,,-127,0
43:B0:8F:D5:FA:A9,,Apple,-62,12,10
C4:81:08:7A:0D:2B,FMB920_5831915_LE,,-89,0,10
F5:93:51:8B:D5:4F,,Apple,,-127,0
C8:3D:81:36:3F:F9,,Apple,,-127,0
C8:05:C6:DD:70:B4,,Apple,-65,-127,10
5B:99:19:58:98:B7,,Apple,-65,-127,10
00:94:EC:78:4A:3B,HUAWEI WATCH 3-A3B,"[""Huawei Device Co., Ltd."",""HUAWEI Technologies""]",-70,-127,10
E5:50:B5:9A:9B:6C,,Apple,-64,-127,10
7A:7B:6E:4F:AD:E9,,Apple,-68,-127,10
58:63:CF:A5:F9:0B,,Samsung Electronics,,-127,0
4C:BB:65:87:82:E5,,Apple,-72,12,10
F8:54:AF:16:FE:08,,"[""Apple"",""ECI Telecom Ltd.""]",,-127,0
5E:E3:BC:D8:DF:EC,,Apple,-53,-127,10
64:DB:10:E4:28:7C,,Apple,-58,9,10
1D:60:F2:0C:44:EB,,,-78,-127,10
C6:A7:E6:92:4C:BF,,Apple,-52,-127,10
EF:AC:AA:BC:92:B1,,Apple,-56,-127,10
F5:8B:83:69:B3:23,,Apple,,-127,0
4C:AC:12:B0:4E:24,,Apple,-75,7,10
70:95:CE:62:CA:1F,,,-83,-127,10
40:8A:36:D4:0A:B6,,Apple,,-127,0
4A:34:C6:8C:BB:AA,,Samsung Electronics,-80,-127,10
DB:74:F8:47:72:10,,Apple,-65,-127,10
4A:B8:8B:3C:15:17,,Apple,,-127,0
67:D3:42:8D:BD:CD,LE-Jano Bose,Bose Corporation,-60,-10,10
4E:CF:9C:4D:B9:E6,,Apple,-53,12,10
68:B3:EC:43:81:B9,,Apple,,-127,0
