BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
F5:0D:D6:2E:8F:DF,,Apple,-81,-127,10
55:F4:67:6B:84:65,,Apple,-92,-127,10
7F:7C:77:A2:53:0E,,Samsung Electronics,-92,-127,10
FF:CB:0C:C0:42:DE,,Apple,-104,-127,10
C0:A7:C2:AB:55:92,,Apple,-93,-127,10
5E:BE:4D:8B:B9:65,,Apple,-79,-127,10
5B:17:FD:A9:9E:70,,Apple,-90,-127,10
E7:54:2A:E8:25:CB,,Apple,-97,-127,10
6F:54:24:7B:D8:7C,,Apple,-76,12,10
40:23:2A:C6:89:BB,,Apple,-96,12,10
3D:4F:92:81:68:8F,,,-102,-127,10
C8:2F:4C:61:66:31,,Apple,-98,-127,10
7D:0A:84:61:A5:2F,,Apple,-95,12,10
5B:88:18:9B:E0:18,,Apple,-96,12,10
5D:D8:5B:2E:A4:DE,,Apple,-98,11,10
4B:8F:69:0C:FE:CD,,Apple,-93,-127,10
79:A8:79:4A:21:C0,,Apple,-100,7,10
6E:06:11:58:7B:F4,,Apple,-94,17,10
82:77:16:D5:B7:BF,Redmi Watch 2 Lite B7BF,,-94,-127,10
F4:EF:90:78:51:40,,Apple,-80,-127,10
64:67:A7:FC:51:5E,,Apple,-88,12,10
78:0B:DD:5F:C8:FB,,Apple,-97,11,10
FE:ED:CF:26:91:FB,,Apple,-90,-127,10
49:B8:A5:A4:8A:CD,,Apple,-97,-127,10
70:4F:78:71:92:B5,,Apple,-94,8,10
55:DE:1A:09:64:6B,,Apple,-79,12,10
7D:D3:A4:33:AC:1A,,Apple,-82,12,10
E7:62:6C:F9:F1:BF,,Apple,-97,-127,10
50:8C:A2:3E:9D:4B,,Google,-97,-127,10
41:BB:00:CE:38:4C,Bowie WM01,,-96,-127,10
DD:E1:22:FC:10:C5,,Apple,-98,-127,10
F8:B5:85:CA:9F:5B,,Apple,-97,-127,10
CB:C0:05:D6:6F:03,,Apple,-96,-127,10
62:CB:8E:73:18:3E,,Apple,-94,11,10
65:65:54:4D:03:27,,Apple,-83,-127,10
10:BD:E6:4C:14:86,,,-92,-127,10
C5:B4:B3:12:E6:11,,Apple,-91,-127,10
EF:78:84:4E:BF:B5,,Apple,-94,-127,10
1F:F0:A3:20:BB:A8,,,-95,-127,10
CA:37:ED:FA:AE:0D,,Apple,-99,-127,10
65:2D:F1:A1:15:F2,,Apple,-78,7,10
7B:63:6B:1A:A4:AE,,Apple,-96,12,10
D9:39:3F:29:B3:7B,,Apple,-101,-127,10
1D:DD:45:83:F7:31,,Microsoft,-90,-127,10
6F:C6:1F:CE:08:21,,Apple,-97,8,10
7D:2C:BC:B9:E6:77,,Apple,-93,12,10
68:89:54:27:4C:F3,,Apple,-96,12,10
ED:86:A0:A3:26:0C,S53,,-97,-127,10
E8:F0:99:59:A7:82,,Apple,-95,-127,10
2C:48:0A:CB:E5:8D,,,-95,-127,10
6D:77:B7:25:59:13,,Apple,-81,-127,10
3C:79:12:4E:CD:29,,,-100,-127,10
DE:33:3E:5A:BA:FD,,Apple,-79,-127,10
75:93:6B:34:5C:AA,,Apple,-91,-127,10
D5:49:77:67:C8:A6,JBL TUNE520BT-LE,,-98,-127,10
4F:8A:30:61:88:6A,,Apple,-97,17,10
EA:6E:E0:EA:47:FE,,Apple,-92,-127,10
EE:E7:9F:09:86:EB,,Apple,-89,-127,10
EE:F2:95:F3:4C:A8,Xiaomi Smart Band 7 4CA8,Anhui Huami Information Technology,-93,-127,10
46:52:F1:48:C6:5A,,Apple,-90,12,10
76:74:15:C3:27:24,,Apple,-92,12,10
70:B7:F1:61:F4:4F,,Samsung Electronics,-98,-127,10
