BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7E:57:02:B5:B5:F6,,Apple,-100,-127,10
C7:23:91:83:4B:1D,,Apple,-99,-127,10
F0:EB:79:9F:C9:A6,,Apple,-90,-127,10
DB:56:40:B2:9E:44,,Apple,-77,-127,10
E0:7A:24:8C:3C:9F,,Apple,-97,-127,10
4B:FA:97:0C:FD:64,,Apple,-102,-127,10
ED:67:3B:53:8E:00,WT-0001,,-92,-127,10
EA:FD:A1:F1:55:4A,,Apple,-83,-127,10
7D:BF:C9:0C:56:AB,,Apple,-95,12,10
7B:CB:47:7B:05:B2,,Google,-99,-127,10
43:5E:76:22:BF:73,,Apple,-100,7,10
D7:98:6C:9D:35:FD,,Apple,-99,-127,10
77:6D:1C:AD:7F:32,,Apple,-95,-127,10
03:AE:F9:66:23:FB,,Microsoft,-97,-127,10
6A:51:21:42:2B:96,,Apple,-93,12,10
FA:E4:8D:3F:D7:4D,,Apple,-96,-127,10
4A:A8:A1:33:29:7F,,Apple,-93,-127,10
64:1B:B8:79:88:0C,JBL TUNE520BT-LE,,-95,-6,10
5F:80:1F:AF:1F:7B,,Samsung Electronics,-79,-127,10
FA:E2:94:2B:25:CB,,Apple,-91,-127,10
56:8C:00:36:AD:B8,,Apple,-96,12,10
6F:29:DB:3A:AA:EF,,Apple,-90,11,10
CE:91:10:C0:CC:C5,,Apple,-92,-127,10
EE:90:82:5B:F3:E0,,Apple,-92,-127,10
F8:0B:77:82:04:50,,Apple,-100,-127,10
7C:0C:BA:6C:28:B4,,Apple,-94,8,10
D9:0C:E3:82:ED:0E,,Apple,-98,-127,10
C1:0B:17:01:4D:5D,Mi Smart Band 6,Anhui Huami Information Technology,-82,-127,10
71:A0:AA:28:F2:31,,Apple,-95,-127,10
16:3A:7D:CF:A0:A9,ARMODDSq11P,Sony Ericsson Mobile Communications,-87,-127,10
55:2F:44:6A:60:0D,,Apple,-100,12,10
53:08:1F:5B:AC:31,,Apple,-96,11,10
4E:A6:47:92:66:BD,,Apple,-91,12,10
5F:F9:EA:44:EA:38,,Apple,-79,-127,10
F3:42:66:5D:61:83,,Apple,-99,-127,10
EE:2E:C2:06:40:62,,Apple,-94,-127,10
7A:B5:CC:2E:1D:07,,Apple,-97,17,10
6A:DC:6C:9B:35:E7,,Apple,-90,-127,10
4A:DC:D6:EC:E9:27,,Apple,-80,-127,10
55:8A:F0:AF:B8:E1,,Apple,-97,12,10
7B:C5:C8:5A:62:27,,Apple,-94,-127,10
4C:2B:1D:BC:EB:AF,,Apple,-100,12,10
44:34:4A:BE:19:34,,Apple,-91,12,10
08:3B:F2:C8:1F:D4,,Apple,-96,-127,10
68:3D:60:FE:59:26,,Apple,-94,-127,10
5E:36:AB:86:3A:18,,Apple,-96,12,10
