BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
6F:71:BC:BA:A3:2F,,Apple,-80,11,10
D0:E1:67:51:97:5F,,Apple,-75,-127,10
54:78:49:7C:19:72,,Apple,-77,12,10
DC:0D:30:13:E9:F6,FSC-BP101E,"[""Google"",""Apple""]",-88,-127,10
45:F4:0A:FC:D1:7D,myPhone Watch LS,Zhuhai Jieli technology,-76,-127,10
EF:D9:77:5E:13:7A,,Apple,-84,-127,10
D3:5C:F2:70:19:B7,,Apple,-95,-127,10
71:2E:C1:71:B3:AA,,Apple,-72,9,10
E8:FE:D6:7C:95:7F,Galaxy Watch Active (EABF) LE,Samsung Electronics,-93,-127,10
7E:EB:A0:94:A9:C7,,Apple,-94,-127,10
51:F6:25:FA:25:08,,Apple,-82,8,10
74:57:13:A5:61:24,,Apple,-93,7,10
77:96:04:13:7E:47,,Google,-92,-127,10
57:E5:1F:5D:85:F3,,Apple,-91,12,10
C8:E1:81:71:DA:C1,,Apple,-80,-127,10
25:32:4D:7E:DA:A0,,,-92,-127,10
74:8A:55:EE:CA:98,,Google,-90,-127,10
C5:69:0F:F9:19:06,,Apple,-83,-127,10
CD:B4:06:F0:6B:D0,,Apple,-89,-127,10
4E:6C:F3:FA:7D:F1,,,-84,-127,10
50:60:C2:E1:56:CC,,Apple,-87,12,10
5D:9A:79:BA:1A:C8,,Google,-94,-127,10
C6:B9:CB:B4:40:EE,,Apple,-86,-127,10
4E:5B:E9:1E:E5:9E,,Apple,-90,24,10
5C:44:D3:2F:02:AC,,Microsoft,-94,-127,10
EA:52:C1:18:95:80,,Apple,-87,-127,10
71:1A:C4:6F:92:D9,,Apple,-91,11,10
EA:91:E6:64:6B:28,,Apple,-86,-127,10
61:C1:2B:5B:ED:98,,Apple,-89,12,10
78:91:20:7F:22:FF,EDIFIER BLE,,-81,-127,10
42:F7:85:9D:66:B1,,Apple,-81,11,10
DB:0B:3E:A6:91:78,,Apple,-88,-127,10
F3:EA:3A:72:EB:E9,TOTUPOINT,,-83,-127,10
DA:D1:40:78:1E:EA,,Apple,-86,-127,10
64:90:C1:93:66:09,,Xiaomi,-90,-127,10
55:FA:19:AC:78:A6,JBL Flip 6,Harman International Industries,-89,-127,10
D5:4E:93:12:22:B9,,Apple,-79,-127,10
6A:14:7E:AB:17:92,,,-94,-127,10
F0:A0:E2:5E:BB:7D,,Apple,-94,-127,10
4D:5F:48:C3:40:C6,,,-92,-127,10
CF:62:F7:83:A9:2A,,Apple,-90,-127,10
54:EF:44:24:EE:67,,,-84,-127,10
44:45:46:66:E7:77,,Apple,-94,-127,10
5D:70:63:F7:32:56,,Apple,-91,-127,10
A4:C1:38:F3:AD:77,LYWSD03MMC,,-91,-127,10
42:95:B1:87:FC:A5,,Apple,-85,12,10
28:C7:E5:4D:16:66,,Microsoft,-79,-127,10
66:45:46:F3:EF:80,,Microsoft,-92,-127,10
C2:75:CA:EC:CD:57,,Apple,-91,-127,10
78:96:65:76:38:B4,,Apple,-93,-127,10
64:A5:FF:CF:F3:73,,Apple,-83,-127,10
5D:E1:00:FE:F0:88,,Apple,-91,11,10
C0:12:6C:0E:98:2A,JBL VIBE FLEX-LE,,-90,-8,10
ED:50:39:3A:66:69,,Apple,-79,-127,10
