BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7B:0A:0D:8D:C0:2C,,Apple,-80,-127,10
5D:D0:51:4B:2B:E6,,Microsoft,-59,-127,10
FA:47:E5:87:4D:A5,V874da5,Apple,-92,0,10
D9:AF:3F:44:62:88,,Apple,-75,-127,10
79:F0:2A:20:02:51,,Apple,-76,12,10
53:7F:68:99:B9:E0,,Microsoft,-96,-127,10
16:58:70:1A:3C:CC,,Microsoft,-92,-127,10
6E:E7:12:19:2C:B9,,Apple,-81,12,10
72:1A:4F:B5:37:9A,,Google,-96,-127,10
74:E7:1F:57:22:4B,,Apple,-76,-127,10
D4:62:96:E6:28:E9,Ve628e9,Apple,-91,0,10
5A:09:87:C5:E2:DC,,Apple,-84,-127,10
5B:AC:EB:11:66:7F,,,,-127,0
49:87:25:0C:D0:03,,Apple,-83,12,10
DF:61:BB:3D:8D:5C,,Apple,-80,-127,10
F4:60:77:0B:1F:4F,BLE42,"[""Texas Instruments"",""MetaSystem""]",-94,0,10
64:A8:D6:7C:E7:24,,Apple,-86,12,10
3E:0E:C1:31:EA:4E,,Microsoft,-92,-127,10
D8:67:56:07:FA:E8,,Apple,-84,-127,10
37:F2:DC:E4:37:BA,,Microsoft,-90,-127,10
52:6A:C8:CB:15:82,,,-91,-127,10
DC:32:A6:90:4D:47,Amazfit GTS 3,Anhui Huami Information Technology,-84,-127,10
50:3C:7E:C2:2F:E3,,Apple,-80,12,10
00:93:25:02:E8:11,,Microsoft,-77,-127,10
