BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
5C:BD:05:FE:B6:8A,,Apple,-94,12,10
45:BB:B8:F3:CB:5B,,Apple,-96,7,10
D6:E8:34:B2:DE:92,,Apple,-94,-127,10
69:C1:D1:D8:B3:AE,,Apple,-94,-127,10
C8:AE:F4:41:3A:47,,Apple,-96,-127,10
4C:B3:8D:B8:8A:80,,Apple,-100,-127,10
E8:84:69:B2:30:D6,,Apple,-103,-127,10
DF:B6:BD:74:EE:70,,Apple,-94,-127,10
5E:E1:D5:05:B7:67,,Apple,-98,24,10
48:44:4A:FD:2A:3B,,Apple,-99,12,10
3E:26:15:FB:6D:F3,,,-87,-127,10
47:8F:A8:57:B9:68,,Apple,-98,-127,10
