BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7B:A0:A4:D5:EF:4F,,Apple,-99,-127,10
75:F7:BD:6B:3B:36,,Apple,-94,9,10
F9:D6:17:9C:84:56,,Apple,-96,-127,10
7A:C3:5F:94:15:9E,,Samsung Electronics,-88,-127,10
03:FC:59:5A:2F:1F,,Microsoft,-81,-127,10
38:83:14:6B:F3:3C,,Apple,-90,-127,10
51:7E:53:CF:71:B3,,,-99,-127,10
0E:53:06:81:C0:CF,,Microsoft,-93,-127,10
53:08:3F:E1:E5:2F,,Apple,-94,12,10
56:C3:F3:92:B5:E5,,Apple,-83,-127,10
1E:02:B0:0D:FF:1A,,Microsoft,-90,-127,10
63:CD:5E:45:75:E4,,Apple,-96,7,10
3C:68:16:59:AC:31,PB 2.6.0,,-99,-127,10
5F:BE:8C:51:1C:84,,,-90,-127,10
1A:F3:3E:D1:64:75,,Microsoft,-96,-127,10
00:02:5B:06:15:55,Feegar Bond SE,Qualcomm Technologies International (QTIL),-97,-127,10
6E:AA:98:03:39:B2,,Apple,-82,-127,10
E0:03:6B:FD:35:0B,Samsung Q77CA 55,Samsung Electronics,-97,-127,10
48:2C:6F:DA:D1:CA,,Apple,-82,-127,10
6E:1B:50:FC:D9:2E,,Google,-98,-127,10
44:27:F3:43:E6:95,Redmi Band Pro E695,,-91,-127,10
62:17:20:56:7B:2A,,Apple,-70,-127,10
4D:C9:2A:4A:C3:A2,,Google,-66,-127,10
48:E6:95:1B:63:49,,"[""Google"",""eBest IOT""]",-89,-127,10
F1:93:1A:51:5D:EC,,Microsoft,-97,-127,10
D6:47:70:23:DB:84,,Apple,-89,-127,10
50:F3:DD:8E:39:03,,,-93,-127,10
F7:F4:98:EF:98:19,,Apple,-80,-127,10
28:1C:D3:DA:18:DC,,Microsoft,-76,-127,10
43:59:F3:F8:23:3C,,Apple,-93,12,10
E2:85:9F:AC:16:C2,,Apple,-92,-127,10
7A:BC:F0:04:9D:31,,Apple,-94,12,10
F2:0E:C2:8D:F9:7D,,Apple,-74,-127,10
31:7B:0F:EC:16:8A,,Microsoft,-93,-127,10
E8:A2:6A:E0:09:5F,,Apple,-96,-127,10
CA:51:92:91:A4:D9,,Apple,-88,-127,10
69:32:05:36:5C:0E,,Apple,-87,-127,10
49:CD:E3:95:66:52,,Apple,-88,9,10
1C:AF:4A:05:65:D7,Samsung S90CA 65,Samsung Electronics,-94,-127,10
E0:03:6B:DA:4F:3B,Samsung Q77CA 65,Samsung Electronics,-91,-127,10
D8:EF:42:87:F3:22,HUAWEI WATCH 4 Pro-322,HUAWEI Technologies,-92,-127,10
1D:86:67:3F:94:DF,,Microsoft,-97,-127,10
D8:E1:3A:56:61:1F,,Apple,-95,-127,10
E5:BC:43:FC:4B:0F,,Apple,-92,-127,10
5E:17:24:86:E3:F6,,Apple,-80,12,10
26:52:AC:B4:CD:B1,,Microsoft,-94,-127,10
1A:87:A0:9C:4D:8D,,Microsoft,-97,-127,10
5C:81:9C:70:79:88,,Apple,-91,-127,10
F9:0E:CF:25:1E:61,,Apple,-91,-127,10
EA:A3:4A:AF:E2:F0,,Apple,-96,-127,10
2E:89:B3:8A:BE:64,,Microsoft,-97,-127,10
1E:72:BC:DC:A6:2B,,Microsoft,-94,-127,10
06:DA:0F:BE:3F:DC,,Google,-92,-127,10
6C:70:CB:57:66:71,"75"" QLED",Samsung Electronics,-85,-127,10
74:28:80:B6:16:FF,,Google,-94,-127,10
6B:9D:B2:07:B0:40,,Apple,-94,8,10
6B:21:A4:01:3E:DB,,Apple,-97,8,10
1B:57:94:6C:08:EE,,,-80,-127,10
71:39:F0:CA:B9:63,,Apple,-86,-127,10
D6:DB:FA:C4:23:72,,Apple,-91,-127,10
6C:87:48:CB:94:25,,,-100,-127,10
D1:94:94:45:DB:4B,,Apple,-77,-127,10
