BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
F8:4E:58:A3:5A:F9,Samsung Q67CA 43,Samsung Electronics,-94,-127,10
32:FC:AD:1A:F5:5C,,Google,-93,-127,10
6B:57:78:50:16:2D,,Google,-96,-127,10
F7:14:4D:A8:13:A5,,Apple,-99,-127,10
18:B6:12:DB:B4:1B,,Microsoft,-95,-127,10
30:92:50:BA:4B:34,,,-95,-127,10
56:09:D8:4A:62:8B,,Apple,-77,-127,10
13:FC:35:75:2F:FE,,,-88,-127,10
60:F1:EF:96:53:DA,,Google,-92,-127,10
0A:2D:3D:C3:7D:49,,Microsoft,-76,-127,10
71:AA:A1:78:0B:5A,,Apple,-90,-127,10
48:E6:95:17:18:56,,"[""Google"",""Apple""]",-100,-127,10
43:90:3F:31:A6:E5,,Apple,-94,-127,10
76:2D:03:73:92:0D,,Google,-86,-127,10
88:36:CF:99:7C:F6,HUAWEI WATCH GT 3-CF6,HUAWEI Technologies,-90,0,10
C6:BB:64:DE:94:69,Mi Smart Band 5,Anhui Huami Information Technology,-76,-127,10
D0:03:DF:F1:8B:BB,[TV] Samsung 7 Series (55),Samsung Electronics,-83,-127,10
F0:A4:40:87:2B:80,,Apple,-92,-127,10
1C:37:C5:0F:41:8B,,Microsoft,-90,-127,10
F0:AD:33:E7:90:18,,Apple,-96,-127,10
79:B2:57:2B:1C:8C,,Samsung Electronics,-74,-127,10
40:5D:CE:A9:BB:BA,,Apple,-81,-127,10
45:A0:D7:27:C0:C0,,Apple,-82,-127,10
2B:82:01:E5:3F:8F,,Microsoft,-93,-127,10
2F:AD:B6:98:1A:ED,,Microsoft,-94,-127,10
74:7D:46:D8:83:8C,Galaxy Watch6 Classic (J89L),Samsung Electronics,-96,-127,10
09:C3:64:EE:DE:4F,,Microsoft,-93,-127,10
1C:AF:4A:13:78:0B,Samsung Q80CA 55,Samsung Electronics,-96,-127,10
6F:44:AE:69:85:5C,,Apple,-71,12,10
FF:1D:2B:1B:41:96,,Apple,-100,-127,10
7D:59:D7:0B:69:8E,,Apple,-94,12,10
7B:16:65:44:E2:B8,,Apple,-69,-127,10
CC:19:A4:12:57:21,,Apple,-93,-127,10
F8:4E:58:E4:42:8B,Samsung Q67CA 50,Samsung Electronics,-92,-127,10
6A:49:9F:E7:A9:0D,,Google,-97,-127,10
09:B6:B9:97:F4:55,,Microsoft,-92,-127,10
52:F7:2D:DF:1D:CC,,Apple,-93,12,10
75:16:64:0A:32:37,,Google,-84,-127,10
3A:84:71:27:17:AB,,Microsoft,-87,-127,10
39:5D:DD:25:8D:99,,,-91,-127,10
15:F8:59:EE:7D:9A,,Microsoft,-92,-127,10
FD:24:1B:86:D2:02,,Apple,-91,-127,10
4A:B4:B3:7F:F4:04,,Samsung Electronics,-97,-127,10
5C:E1:D8:00:E9:A8,,Samsung Electronics,-73,-127,10
D8:34:BA:E0:E0:50,,Apple,-91,-127,10
4B:95:26:87:8E:AC,,Apple,-91,12,10
66:9E:35:94:2F:8B,,Apple,-80,-127,10
54:52:84:96:BB:46,HUAWEI WATCH GT 3-B46,HUAWEI Technologies,-90,0,10
7E:85:16:58:48:A8,,Apple,-90,12,10
4E:06:A0:62:CD:CB,,Apple,-95,-127,10
18:E3:68:DB:C0:C2,,Microsoft,-82,-127,10
1C:CA:E3:2D:B6:84,,"[""Google"",""Apple"",""eBest IOT""]",-99,-127,10
C6:AC:04:D0:EA:51,,Microsoft,-91,-127,10
30:C7:E7:E8:AF:52,,Microsoft,-93,-127,10
15:6F:E3:93:BE:A2,,Microsoft,-94,-127,10
DC:91:66:F0:67:2F,HUAWEI WATCH GT 3-72F,HUAWEI Technologies,-96,0,10
E3:88:61:5B:08:97,KW10_0897,Tencent Holdings Limited.,-86,-127,10
CA:50:7F:5F:D8:64,,Apple,-91,-127,10
C8:12:0B:09:46:C7,Samsung Q67CA 65,Samsung Electronics,-97,-127,10
60:55:22:0D:C0:76,,Google,-95,-127,10
57:98:92:81:E8:FE,,Apple,-87,7,10
78:12:C1:29:51:60,,Apple,-80,11,10
6E:6C:43:C8:E1:C8,,Apple,-91,7,10
65:62:0C:35:A6:E2,Galaxy Watch6 Classic (YFQX),Samsung Electronics,-96,-127,10
2D:22:C9:6B:CC:12,,Google,-91,-127,10
31:C7:F6:C2:F6:EA,,Microsoft,-96,-127,10
56:7A:E7:2C:04:1C,,Microsoft,-94,-127,10
