BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
72:3C:99:37:A6:E4,,Apple,-96,-127,10
03:F7:4E:05:23:80,,,-97,-127,10
43:6F:C2:3B:23:2F,,Apple,-97,9,10
47:24:EC:F3:70:DC,,,-96,-127,10
4C:0B:7C:B7:C4:C3,,Samsung Electronics,-92,-127,10
55:41:56:83:93:72,,Google,-88,-127,10
47:5C:31:53:08:A8,,Samsung Electronics,-97,-127,10
6E:18:48:78:06:CE,,Google,-95,-127,10
D4:34:14:34:05:00,K37_0500,Tencent Holdings Limited.,-98,-127,10
DF:8E:E6:34:11:B0,,Apple,-97,-127,10
7A:3E:E5:CC:7B:E9,Smart Tag,Samsung Electronics,-78,-127,10
07:F7:B3:7E:29:A5,,,-93,-127,10
54:A5:47:2E:07:32,,Google,-77,-127,10
77:C1:31:18:86:62,,Google,-80,-127,10
5C:22:42:32:08:20,,Google,-97,-127,10
2C:BB:8B:A4:FF:60,,,-89,-127,10
