BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7B:AA:E4:ED:14:57,,Apple,-84,-127,10
66:C5:12:C1:11:E7,MINOR III,Zound Industries International,-89,-5,10
27:47:5F:08:AB:F8,,,-95,-127,10
D4:1F:71:D0:9E:11,,Apple,-78,-127,10
7F:61:F8:18:AD:1C,,,-81,-127,10
D9:68:F7:83:92:66,,Apple,-94,-127,10
CE:A1:70:72:59:9D,,Apple,-81,-127,10
BB:EA:FF:AE:39:97,HSB-330,,-98,-127,10
70:CE:27:5C:01:31,,Apple,-77,11,10
62:6B:33:D3:B8:7A,,,-96,-127,10
E9:4E:9B:08:BC:79,,Apple,-93,-127,10
74:19:0A:08:08:67,Galaxy Fit3 (0867),Samsung Electronics,-85,-127,10
F8:AF:05:36:0A:05,,,-91,-127,10
5F:58:09:44:1C:66,,Apple,-85,12,10
44:7D:9F:54:28:F2,,Apple,-94,12,10
CD:86:F6:48:54:40,,Apple,-90,-127,10
71:A3:EB:A7:89:0F,,,-76,-127,10
1A:E5:FC:F3:FE:7C,,,-97,-127,10
F0:35:73:CA:E3:FD,,Apple,-87,-127,10
76:E3:A2:C8:9B:16,,Apple,-75,7,10
71:1B:32:BF:85:19,,Apple,-85,12,10
40:E3:D2:F6:53:30,,Apple,-70,-127,10
F9:09:5D:49:20:60,,Apple,-84,-127,10
54:B3:A7:E0:2A:83,,Apple,-89,12,10
52:DF:1F:7E:F9:A1,,Apple,-77,12,10
43:7C:68:33:66:72,,Apple,-83,-127,10
D5:74:5A:58:13:B8,,Apple,-74,-127,10
D8:F1:B9:65:8F:21,,Apple,-73,-127,10
62:69:9E:C6:7B:8C,,,-91,-127,10
