BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
40:D4:57:3E:00:2F,,,-94,-127,10
18:BF:AA:4C:74:82,,,-85,-127,10
7E:7F:F7:4E:8A:63,,Apple,-78,12,10
5E:B1:30:D9:8B:B3,,,-91,-127,10
4A:B1:92:78:30:FF,,,-84,-127,10
51:20:7B:3D:0A:E8,,,-94,-127,10
B0:45:02:D1:05:E7,,,-97,-127,10
CB:E8:34:97:7D:A9,Amazfit Bip Watch,Anhui Huami Information Technology,-78,-127,10
0A:F4:5F:1F:C1:9F,,,-85,-127,10
FA:B0:F6:43:A8:A9,,Apple,-91,-127,10
1F:AA:06:09:3D:F6,,Microsoft,-96,-127,10
24:C7:C2:B9:88:7B,,,-81,-127,10
06:B9:FB:6F:BF:0C,,,-88,-127,10
9C:56:36:AF:84:56,HUAWEI Band 6-456,HUAWEI Technologies,-81,4,10
41:AA:66:CB:A8:81,Bowie MA20,,-96,-127,10
67:B8:CD:6B:76:95,,,-79,-127,10
69:81:2A:15:C4:9F,,,-81,-127,10
